Modality,H_0,H_1,H_2,H_inf
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",83.6623106511949,36.9983997805033,33.6817299118793,23.9261995505323
"[Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",76.9074231490315,34.2575724684174,31.5096267632869,23.8349420201779
"[Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",72.7374981475892,34.2460166514689,31.5089710550084,23.8349420201779
"[Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",72.8199603077811,34.2434249494728,31.5082652913768,23.8292056506287
"[Acc.x, Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",72.7374981475892,34.2293230906657,31.500559999493,22.9446929994344
"[Acc.x, Acc.y, Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",71.3838611929745,32.5864544039382,30.189839901535,22.9446929994344
"[Acc.x, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",68.6500353063388,34.2151755717211,31.4987856957121,22.9446929994344
"[Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",68.5675731461468,34.2177672737172,31.4995170311597,22.9446929994344
"[Acc.y, Acc.z, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",67.2139361915321,32.5748985869897,30.1894835684941,22.9446929994344
"[Acc.x, Acc.y, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",67.2139361915321,32.5582050261865,30.1825377343542,21.9149456560403
"[Acc.x, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",63.1264733502818,32.5440575072419,30.1812661471923,21.9149456560403
"[Acc.y, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",63.0440111900898,32.546649209238,30.1819651911776,21.9149456560403
"[Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",58.9565483488395,32.5325016902934,30.1803193952099,21.9149456560403
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",76.6179165318365,33.8161617486931,31.035264399641,21.9149456560403
"[Humidity, Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",72.5304536905861,33.8020142297486,31.0330883056729,21.9149456560403
"[Humidity, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",72.4479915303942,33.8046059317446,31.033741179362,21.9149456560403
"[Humidity, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",68.3605286891438,33.7904584128001,31.0308146767788,21.9149456560403
"[Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",69.863029029673,31.066597700769,28.5432084144404,21.5294066681279
"[Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",65.6931040282307,31.0550418838206,28.5426432188572,21.5294066681279
"[Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",65.7755661884227,31.0524501818245,28.5420043447996,21.5236702985788
"[Acc.z, Light, Temp., Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",61.6056411869804,31.040894364876,28.5411644352052,21.5236702985788
"[Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",69.7781401320865,31.1332052445095,28.6012633522933,21.4810602841682
"[Acc.y, Acc.z, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",65.6082151306442,31.121649427561,28.6006641199052,21.4810602841682
"[Acc.x, Acc.z, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",65.6906772908362,31.1190577255649,28.6000743217938,21.475323914619
"[Acc.z, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",61.5207522893939,31.1075019086164,28.5991843134245,21.475323914619
"[Acc.x, Acc.y, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",65.6082151306442,31.1049558667578,28.5926162896388,21.4734067116247
"[Acc.y, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",61.4382901292019,31.0934000498093,28.5916646126552,21.4734067116247
"[Acc.x, Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",61.5207522893939,31.0908083478132,28.5910573881146,21.4676703420756
"[Light, Temp., Pressure, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",57.3508272879515,31.0792525308647,28.5895125060545,21.4676703420756
"[Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",68.8685041597392,29.271454937411,26.9013503788176,21.4652607938421
"[Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",64.6985791582969,29.2598991204625,26.9007078217323,21.4652607938421
"[Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",64.7810413184888,29.2573074184665,26.900170427641,21.459524424293
"[Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",60.6111163170465,29.245751601518,26.8992490777256,21.459524424293
"[Acc.x, Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",64.6985791582969,29.2432055596593,26.893643249347,21.4576072212987
"[Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",60.5286541568545,29.2316497427108,26.8926549850682,21.4576072212987
"[Acc.x, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",60.6111163170465,29.2290580407148,26.8921137223541,21.4518708517496
"[Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",56.4411913156042,29.2175022237663,26.8905727443659,21.4518708517496
"[Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",69.0432370043772,29.6631754726485,27.2659868937767,21.4230325584528
"[Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",64.8733120029349,29.6516196557001,27.2654819696309,21.4230325584528
"[Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",64.9557741631269,29.649027953704,27.2649100245187,21.4172961889037
"[Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",60.7858491616845,29.6374721367555,27.2641719142764,21.4172961889037
"[Acc.x, Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",64.8733120029349,29.6349260948968,27.2577898548648,21.4153789859094
"[Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",60.7033870014926,29.6233702779483,27.2570027088806,21.4153789859094
"[Acc.x, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",60.7858491616845,29.6207785759523,27.2564087079552,21.4096426163603
"[Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",56.6159241602422,29.6092227590038,27.2551536390747,21.4096426163603
