Modality,H_0,H_1,H_2,H_inf
"[Acc., Grav.]",10.702172685365548,6.682344295329933,5.566232450383795,4.29669080338834
"[Acc., Gyro.]",17.11156362150325,10.019574101375397,7.515703475040264,4.935722079843631
"[Acc., Light]",16.287135186086704,10.75581323217613,8.657205622897123,5.478223649222538
"[Acc., Lin. Acc.]",18.470357010142475,10.612422195140855,8.128409223528598,4.939268239042149
"[Acc., Mag. Field]",17.33152930544516,11.536279630814555,9.457338303096305,5.235100742133987
"[Acc., Rot. Vec.]",14.402612403506641,9.099374311947843,6.62241406105097,4.759253045404311
"[Grav., Gyro.]",8.4093909361377,4.422554994597076,2.959974992470769,1.6570559091215915
"[Grav., Light]",7.584962500721156,5.186134433005416,4.338153213607983,3.0211387670581504
"[Grav., Lin. Acc.]",9.768184324776927,6.1411212840646145,5.155594813815611,3.9198713543335773
"[Grav., Mag. Field]",8.629356620079609,6.019690491508465,5.469643874001429,4.235100742133987
"[Grav., Rot. Vec.]",5.700439718141092,3.253736421658617,1.9631355507744563,1.022783756830978
"[Gyro., Light]",13.994353436858859,8.740734954488158,6.325782792076343,3.9181208646859917
"[Gyro., Lin. Acc.]",16.17757526091463,9.660060266692621,7.17095390680086,4.9111400686098765
"[Gyro., Mag. Field]",15.038747556217311,9.60147798344993,7.544447811584753,4.757165208511867
"[Gyro., Rot. Vec.]",12.109830654278793,7.095478907666481,4.279122425938642,2.3082986477802256
"[Light, Lin. Acc.]",15.353146825498083,10.42952558230581,8.390517225969193,5.502500340529183
"[Light, Mag. Field]",14.214319120800766,9.575761191875277,8.338524095339022,5.504250122479143
"[Light, Rot. Vec.]",11.285402218862249,7.249657021798777,4.789972161740191,3.0359325406102573
"[Lin. Acc., Mag. Field]",16.397540944856537,11.187239537061417,9.216854572904516,5.179523394239107
"[Lin. Acc., Rot. Vec.]",13.46862404291802,8.688995982913543,6.26985028820505,4.467943118492815
"[Mag. Field, Rot. Vec.]",12.329796338220701,8.121050222712409,6.382525131283569,4.5586642368271795
"[Acc., Grav., Gyro.]",18.11156362150325,10.12904759912561,7.6585510551700064,5.344096813278898
"[Acc., Grav., Light]",17.287135186086704,10.865286729926337,8.810133244676155,5.94024670015803
"[Acc., Grav., Lin. Acc.]",19.470357010142475,10.685856103772045,8.25571903369624,5.172796373425118
"[Acc., Grav., Mag. Field]",18.33152930544516,11.645753128564749,9.796189099397791,5.69712379306948
"[Acc., Grav., Rot. Vec.]",15.402612403506641,9.176899289806613,6.676456760771889,4.767615159190522
"[Acc., Gyro., Light]",23.696526122224405,14.2025165359718,10.394554055424544,5.868853511812519
"[Acc., Gyro., Lin. Acc.]",25.879747946280176,14.059125498936508,9.703857971210455,5.32989810163213
"[Acc., Gyro., Mag. Field]",24.74092024158286,14.982982934610211,10.769914008160288,5.625730604723969
"[Acc., Gyro., Rot. Vec.]",21.812003339644342,12.546077615743524,8.553611341789162,5.344170551497321
"[Acc., Light, Lin. Acc.]",25.055319510863633,14.795364629737236,10.813431897481523,5.872399671011037
"[Acc., Light, Mag. Field]",23.916491806166313,15.234013724877364,11.922405353430943,6.319264107867529
"[Acc., Light, Rot. Vec.]",20.987574904227795,13.03193888269451,9.213249454743751,5.88484115661556
"[Acc., Lin. Acc., Mag. Field]",26.099713630222084,15.57583102837565,10.955970650324819,5.629276763922486
"[Acc., Lin. Acc., Rot. Vec.]",23.170796728283566,13.13892570950896,9.119417893499307,5.347716710695838
"[Acc., Mag. Field, Rot. Vec.]",22.03196902358625,13.779302755714511,10.510916525842037,5.990349582664059
