Modality,H_0,H_1,H_2,H_inf
"[Acc.x, Acc.y]",14.312882955284355,10.493365349210027,7.677622546061483,4.395822666152766
"[Acc.x, Acc.z]",13.312882955284355,9.180889110869144,6.5058327335169235,3.726230898430734
"[Acc.x, Gyro.x]",17.481555073416587,11.199742346910337,7.658537190052412,4.35894347911477
"[Acc.x, Gyro.y]",17.32690342559929,11.142376392214295,7.273317216614523,4.340365651560454
"[Acc.x, Gyro.z]",18.021966767834698,11.060734946131536,6.416730070952907,3.606317540776542
"[Acc.x, Mag.x]",15.040803409847555,10.165631258534566,8.058016137574448,4.701687184747903
"[Acc.x, Mag.y]",14.788616386250753,10.431762133997323,8.05659434213035,4.579696660369293
"[Acc.x, Mag.z]",14.796698732548613,10.201463323936487,8.105231610787952,4.72306083554047
"[Acc.x, Ori.w]",12.12023787734196,9.74842031669572,7.5563372978025205,4.3678277051840695
"[Acc.x, Ori.x]",13.219773550892874,10.179740156372176,7.50572059985438,4.417181248611285
"[Acc.x, Ori.y]",13.502707514164374,10.151554023452933,7.54430853376091,4.530099134082946
"[Acc.x, Ori.z]",12.634811050171718,10.24318322501035,7.95443042520757,4.390783558546677
"[Acc.x, Grav.x]",13.013322673425447,8.18110206441935,6.241519159622887,4.082197000898476
"[Acc.x, Grav.y]",13.312882955284355,10.39078608028979,7.643916014299422,4.377763660716857
"[Acc.x, Grav.z]",12.170863950411928,8.857680407548258,6.2105372047881815,3.556376422006933
"[Acc.x, LinAcc.x]",16.918362473346026,10.77158692326686,7.056568025794913,3.9901541715448774
"[Acc.x, LinAcc.y]",17.155233298698164,10.97222874145616,7.163874497969022,4.110912379597481
"[Acc.x, LinAcc.z]",16.96213913280167,11.325557699321411,7.801023403524854,4.514669093513341
"[Acc.x, Pressure]",13.219773550892874,10.018291506965976,8.392210451412094,5.638208127923503
"[Acc.x, Altitude]",14.145772969449098,9.4132484785335,7.102743228206784,4.273914002230617
"[Acc.x, Temp.]",11.400345796534694,8.118866357542867,6.788094614418832,4.2757707528612805
"[Acc.y, Acc.z]",13.0,9.387267134764611,6.869581219290069,4.070868995096963
"[Acc.y, Gyro.x]",17.16867211813223,11.218891200813083,7.7683226627901085,4.875204672855774
"[Acc.y, Gyro.y]",17.014020470314932,11.179807866831975,7.214200905944702,3.9977955826343536
"[Acc.y, Gyro.z]",17.709083812550343,11.125587615193432,6.7063235585453835,3.748618546272188
"[Acc.y, Mag.x]",14.727920454563199,10.670646840398378,8.262559913874197,4.719265931885739
"[Acc.y, Mag.y]",14.475733430966397,10.307728286765972,8.070203727584618,4.593524514224581
"[Acc.y, Mag.z]",14.483815777264256,10.324760629962668,8.065587778517665,4.7041853586031
"[Acc.y, Ori.w]",11.807354922057604,9.91190681680278,7.522209102302056,4.089526542696965
"[Acc.y, Ori.x]",12.90689059560852,10.08336024960376,7.417289159828745,4.420258452140294
"[Acc.y, Ori.y]",13.189824558880018,10.587069952379379,7.8659671823704045,4.950316872467471
"[Acc.y, Ori.z]",12.321928094887362,10.373247495571704,8.02897003294835,4.3998666633091155
"[Acc.y, Grav.x]",12.70043971814109,10.307417955409518,7.355803866028147,4.054838885278015
"[Acc.y, Grav.y]",13.0,8.328677370767219,6.110102129127703,3.63284383528673
"[Acc.y, Grav.z]",11.857980995127573,9.034303675127976,6.5462254197700505,4.058030689767724
"[Acc.y, LinAcc.x]",16.60547951806167,10.883140342740264,7.401694965447344,4.27298652226239
"[Acc.y, LinAcc.y]",16.842350343413806,11.049707140154835,7.4327066589821325,4.1901123400653635
"[Acc.y, LinAcc.z]",16.649256177517316,11.411222936654529,8.13207530884272,4.992442348140147
"[Acc.y, Pressure]",12.90689059560852,10.113906244531083,8.306504866536043,5.293530099745649
"[Acc.y, Altitude]",13.832890014164741,9.5326399110192,6.777896921632145,3.729407942306353
"[Acc.y, Temp.]",11.087462841250339,8.250038772831461,6.606616663502799,3.733867590497053
"[Acc.z, Gyro.x]",16.16867211813223,10.425530288067005,6.87277789692908,3.8563273664039346
"[Acc.z, Gyro.y]",16.014020470314932,10.363001650315898,6.483582805076991,3.843189865711132
"[Acc.z, Gyro.z]",16.709083812550343,10.319436810332732,5.669989086377333,3.150820595754425
"[Acc.z, Mag.x]",13.727920454563199,9.602111771994132,7.760859221802317,4.710449784602469
"[Acc.z, Mag.y]",13.475733430966397,9.586376088409546,7.747403160537314,4.593524514224581
"[Acc.z, Mag.z]",13.483815777264256,9.086649588253819,7.556762281751161,4.7117059405728945
"[Acc.z, Ori.w]",10.807354922057604,8.466359670058043,6.683684186153325,3.992442348140147
"[Acc.z, Ori.x]",11.90689059560852,8.88682843400765,6.677026328709336,4.146142730064362
"[Acc.z, Ori.y]",12.189824558880018,9.11314685645695,6.747610436259659,4.000095920683583
"[Acc.z, Ori.z]",11.321928094887362,9.160656315208154,7.579412595661414,4.324904605627894
"[Acc.z, Grav.x]",11.70043971814109,8.957217475897771,6.499708007091792,4.070063245262621
"[Acc.z, Grav.y]",12.0,9.261854342870055,6.833729148829673,4.062030401342306
"[Acc.z, Grav.z]",10.857980995127573,6.443424161702311,4.6564617685456335,2.80917850649206
"[Acc.z, LinAcc.x]",15.605479518061669,9.95378414988417,6.326996816625075,3.566000085589054
"[Acc.z, LinAcc.y]",15.842350343413807,10.170949266781648,6.454357956473909,3.6837036481365693
"[Acc.z, LinAcc.z]",15.649256177517314,10.532156049298507,7.070811445747867,4.079762071981422
"[Acc.z, Pressure]",11.90689059560852,9.070171518192122,7.831081266146862,5.532316959332765
"[Acc.z, Altitude]",12.832890014164741,8.440192986316216,6.412608442937369,3.7511993967652675
"[Acc.z, Temp.]",10.087462841250339,7.041079276373608,5.9571308570349215,3.751199396765267
"[Gyro.x, Gyro.y]",20.182692588447164,10.903176552545581,6.372569415609883,3.618635808684604
