+------------+--------+--------+-------+-------+
| Modality   | H_0    | H_1    | H_2   | H_inf |
+------------+--------+--------+-------+-------+
| Acc.x      | 11.557 | 8.732  | 7.487 | 4.543 |
| Acc.y      | 11.425 | 8.928  | 7.717 | 4.5   |
| Acc.z      | 10.428 | 7.627  | 6.366 | 3.785 |
| Gyro.x     | 15.024 | 10.532 | 8.107 | 4.993 |
| Gyro.y     | 15.085 | 10.283 | 7.601 | 4.827 |
| Gyro.z     | 15.281 | 10.07  | 5.708 | 3.083 |
| Mag.x      | 12.845 | 8.84   | 8.386 | 6.374 |
| Mag.y      | 12.263 | 8.737  | 8.314 | 6.223 |
| Mag.z      | 12.516 | 8.586  | 8.217 | 6.228 |
| Ori.w      | 8.114  | 7.873  | 7.354 | 4.74  |
| Ori.x      | 9.236  | 8.547  | 7.581 | 4.721 |
| Ori.y      | 9.518  | 8.862  | 8.013 | 5.708 |
| Ori.z      | 8.626  | 8.364  | 7.605 | 4.395 |
| Grav.x     | 9.014  | 8.482  | 7.266 | 4.299 |
| Grav.y     | 9.338  | 8.77   | 7.602 | 4.453 |
| Grav.z     | 8.18   | 7.193  | 5.418 | 3.036 |
| LinAcc.x   | 15.26  | 10.077 | 7.621 | 5.116 |
| LinAcc.y   | 14.859 | 10.116 | 7.639 | 5.224 |
| LinAcc.z   | 14.377 | 9.951  | 7.605 | 4.543 |
| Pressure   | 9.461  | 8.17   | 7.723 | 6.237 |
| Altitude   | 10.3   | 6.277  | 2.65  | 1.33  |
| Temp.      | 7.295  | 4.753  | 2.611 | 1.332 |
| Acc.mag    | 14.583 | 10.136 | 8.71  | 6.435 |
| Gyro.mag   | 12.123 | 7.816  | 5.728 | 3.699 |
| Mag.mag    | 13.558 | 9.436  | 8.771 | 7.148 |
| Ori.mag    | 8.725  | 7.721  | 5.97  | 3.22  |
| Grav.mag   | 14.373 | 7.988  | 7.227 | 6.242 |
| LinAcc.mag | 12.777 | 7.968  | 5.752 | 3.42  |
+------------+--------+--------+-------+-------+
