Modality,H_0,H_1,H_2,H_inf
"[acc.x, acc.y]",15.601074338941668,10.145151056234457,7.775560876712691,4.794072501838473
"[acc.x, acc.z]",15.620792573556173,10.206733664927118,8.015748300316385,5.129675533622912
"[acc.x, gyro.x]",16.491101496916535,10.073101709372166,7.030125905889298,4.160926467607352
"[acc.x, gyro.y]",15.672093802261685,10.180082601235789,7.558649659453936,4.83269379586578
"[acc.x, gyro.z]",16.007815696665418,10.171433954799333,7.5671081005825425,4.495192897057957
"[acc.y, acc.z]",15.556086884168359,10.1093069343095,8.087580713167773,5.244008209101907
"[acc.y, gyro.x]",16.42639580752872,10.119422699451423,7.1993036835758835,4.281678627067961
"[acc.y, gyro.y]",15.60738811287387,10.2168587164776,7.923644341431235,5.075736726512108
"[acc.y, gyro.z]",15.943110007277603,10.144508396445353,7.676876988527554,4.540140303111931
"[acc.z, gyro.x]",16.44611404214323,10.22389824699655,7.544458888588248,4.714638034344068
"[acc.z, gyro.y]",15.627106347488375,10.263259718462518,8.148032019991176,5.368187620322637
"[acc.z, gyro.z]",15.96282824189211,10.234967113534724,8.028110944009587,5.089033549125566
"[gyro.x, gyro.y]",16.49741527084874,9.90948096646235,6.747207330457051,4.023742088873846
"[gyro.x, gyro.z]",16.833137165252474,9.923652130984955,6.465504716739622,3.535582021149627
"[gyro.y, gyro.z]",16.014129470597624,9.991954408814308,7.187225817328575,4.304762240181003
"[acc.x, acc.y, acc.z]",23.388976898333098,14.524976373577775,11.079875390138676,7.000179839587432
"[acc.x, acc.y, gyro.x]",24.259285821693464,13.902452323152339,9.915950008885192,6.015481570992339
"[acc.x, acc.y, gyro.y]",23.44027812703861,14.468764949366273,10.65011870217109,6.802601730709345
"[acc.x, acc.y, gyro.z]",23.776000021442346,14.427850116734916,10.583655853609876,6.314240143688521
"[acc.x, acc.z, gyro.x]",24.27900405630797,14.006927870697464,10.273916804626182,6.4484409782684455
"[acc.x, acc.z, gyro.y]",23.45999636165312,14.51516595135119,10.883840991713564,7.095052624519873
"[acc.x, acc.z, gyro.z]",23.79571825605685,14.518308833824289,10.957953440446465,6.863133389702155
"[acc.x, gyro.x, gyro.y]",24.33030528501348,13.692510590163257,9.451039847498397,5.757545032798224
"[acc.x, gyro.x, gyro.z]",24.666027179417213,13.706681754685858,9.157315280946875,5.269384965074004
"[acc.x, gyro.y, gyro.z]",23.847019484762363,14.243860641702984,9.87377353711148,6.03162724437824
